date,Valuation,IPO,Recommendations,Pharmaceuticals,Capital Markets,Energy,Management,Earnings,Federal Reserve,Retail,Technology,Mergers & Acquisitions,Debt Offerings,Corporate Strategy,Job Market
20170508,0.001956,0.002347,0.002193,0.003111,0.002441,0.002914,0.001422,0.004532,0.001312,0.001812,0.003060,0.004180,0.002770,0.006273,0.000852
20170509,0.001923,0.002353,0.002453,0.003152,0.002581,0.003000,0.001470,0.004464,0.001351,0.001834,0.002854,0.003910,0.002742,0.006030,0.000911
20170510,0.002103,0.002246,0.002749,0.003302,0.002694,0.003016,0.002201,0.004102,0.001712,0.002277,0.003211,0.003670,0.003221,0.006276,0.001052
20170511,0.001973,0.003264,0.003255,0.004027,0.002725,0.003011,0.002487,0.004206,0.002828,0.002443,0.002906,0.003511,0.002966,0.006932,0.003155
20170512,0.001870,0.003799,0.003699,0.004940,0.002713,0.002078,0.002211,0.002506,0.002088,0.002714,0.003021,0.003043,0.003353,0.008200,0.001664
20170513,0.002955,0.000750,0.001939,0.000604,0.002634,0.003203,0.003742,0.002442,0.000181,0.000278,0.003747,0.002445,0.000782,0.008300,0.003255
20170514,0.000000,0.002597,0.000000,0.000282,0.000000,0.007079,0.000229,0.000000,0.000000,0.000000,0.014752,0.019240,0.000000,0.004197,0.000000
20170515,0.001923,0.001198,0.003794,0.004711,0.002111,0.003746,0.004461,0.002765,0.001358,0.002119,0.003289,0.003783,0.002061,0.007296,0.001174
20170516,0.002161,0.002307,0.003902,0.003120,0.002967,0.003078,0.004122,0.003248,0.003302,0.002939,0.003284,0.002916,0.002392,0.006759,0.001388
20170517,0.001788,0.000566,0.003555,0.004753,0.003504,0.002535,0.004854,0.002525,0.001789,0.003128,0.004050,0.002533,0.001595,0.007354,0.001794
20170518,0.002193,0.002209,0.002910,0.007087,0.002731,0.002057,0.002155,0.003082,0.002302,0.002006,0.003399,0.002231,0.002645,0.006611,0.002236
20170519,0.001578,0.002392,0.004246,0.003698,0.003277,0.002057,0.003683,0.002466,0.002083,0.001773,0.002817,0.003582,0.002494,0.007709,0.001104
20170520,0.002418,0.000160,0.000637,0.001295,0.001213,0.013624,0.001442,0.001421,0.000051,0.000659,0.010710,0.011098,0.000711,0.007294,0.000049
20170521,0.001695,0.000000,0.000335,0.000606,0.002597,0.002611,0.003181,0.001099,0.000094,0.000029,0.003656,0.011260,0.000244,0.003712,0.000328
20170522,0.002097,0.001648,0.003167,0.006028,0.002321,0.002676,0.003174,0.001811,0.001615,0.001942,0.003929,0.005412,0.003461,0.007294,0.001371
20170523,0.001470,0.002636,0.003999,0.005046,0.002407,0.003089,0.004199,0.002580,0.003041,0.001966,0.003521,0.003516,0.004444,0.006820,0.001539
