date,Valuation,IPO,Recommendations,Pharmaceuticals,Capital Markets,Energy,Management,Earnings,Federal Reserve,Retail,Technology,Mergers & Acquisitions,Debt Offerings,Corporate Strategy,Job Market
20130826,0.002325,0.001052,0.003169,0.002067,0.003373,0.003243,0.002004,0.002902,0.002311,0.002031,0.004287,0.004228,0.001984,0.006649,0.000985
20130902,0.002193,0.000993,0.003416,0.002515,0.003331,0.003448,0.002347,0.003273,0.002621,0.001474,0.004362,0.004388,0.002584,0.005927,0.000973
20130909,0.002516,0.001045,0.003782,0.002442,0.003129,0.003213,0.001991,0.002611,0.002436,0.001813,0.004219,0.003785,0.003317,0.006819,0.001258
20130916,0.002408,0.001044,0.004167,0.002039,0.003428,0.003422,0.001813,0.002768,0.002704,0.001629,0.004188,0.003458,0.002618,0.006306,0.001147
20130923,0.002488,0.001352,0.003414,0.002321,0.003339,0.003504,0.001707,0.002900,0.002108,0.001633,0.004398,0.004343,0.002922,0.006459,0.001233
20130930,0.002432,0.001226,0.003707,0.001997,0.003166,0.003594,0.002052,0.002940,0.002614,0.001345,0.004506,0.003701,0.002484,0.006767,0.001087
20131007,0.002550,0.001246,0.003565,0.002330,0.003465,0.003111,0.001742,0.002913,0.002203,0.002306,0.004472,0.003979,0.002576,0.006461,0.001370
20131014,0.002714,0.000937,0.003850,0.001644,0.003204,0.003431,0.001458,0.004132,0.002110,0.001941,0.004140,0.003204,0.002315,0.006332,0.001087
20131021,0.002603,0.000922,0.003894,0.001858,0.003224,0.003319,0.001314,0.005247,0.002399,0.001654,0.004360,0.003301,0.001946,0.005996,0.001279
20131028,0.002977,0.000749,0.003630,0.001598,0.002922,0.003481,0.001428,0.005637,0.002407,0.001768,0.003726,0.003361,0.001753,0.006453,0.000917
20131104,0.002812,0.001107,0.003544,0.001864,0.003280,0.004144,0.001400,0.005386,0.002717,0.002433,0.003668,0.003945,0.002127,0.005878,0.001226
20131111,0.002564,0.001092,0.003657,0.001859,0.003179,0.003014,0.001642,0.003406,0.002480,0.002208,0.004031,0.003684,0.002779,0.007420,0.001376
20131118,0.002547,0.001302,0.003031,0.001886,0.003348,0.003186,0.001433,0.003247,0.002155,0.003311,0.004046,0.003712,0.003218,0.006920,0.001067
20131125,0.002955,0.001045,0.004713,0.001921,0.003587,0.002280,0.001955,0.003521,0.002813,0.002726,0.003974,0.003897,0.001947,0.006961,0.001274
20131202,0.002956,0.001193,0.004090,0.002048,0.003352,0.003200,0.001664,0.003678,0.002872,0.003055,0.004179,0.003103,0.003074,0.006084,0.001084
20131209,0.002457,0.001381,0.003898,0.002700,0.002921,0.003514,0.001833,0.003204,0.002232,0.002120,0.004463,0.003879,0.002741,0.006781,0.001256
20131216,0.002547,0.000988,0.003915,0.002534,0.003123,0.003647,0.002061,0.003092,0.002375,0.001837,0.004346,0.004738,0.002129,0.006676,0.001144
20131223,0.002621,0.000916,0.003443,0.001857,0.003404,0.002215,0.001787,0.002466,0.002624,0.001717,0.004774,0.004553,0.002334,0.007568,0.001353
20131230,0.002102,0.001098,0.004106,0.001872,0.003567,0.003391,0.001814,0.002952,0.002345,0.001643,0.004450,0.003724,0.001645,0.006834,0.001158
20140106,0.002441,0.001004,0.005273,0.002672,0.003464,0.003065,0.001805,0.003460,0.002899,0.002925,0.004065,0.003252,0.002329,0.005789,0.001186
20140113,0.002688,0.001016,0.003859,0.002348,0.003304,0.003502,0.001478,0.003741,0.002350,0.002606,0.003888,0.003609,0.002179,0.006661,0.001024
20140120,0.002743,0.000892,0.003757,0.001833,0.003370,0.003387,0.001304,0.004472,0.002957,0.002301,0.004206,0.003731,0.002779,0.006331,0.001334
20140127,0.002743,0.000904,0.002769,0.002028,0.003596,0.003838,0.001593,0.005421,0.002830,0.001862,0.004203,0.002787,0.001964,0.006082,0.001083
20140203,0.002473,0.000588,0.003070,0.002129,0.003619,0.004404,0.001036,0.005306,0.002613,0.002690,0.004097,0.003325,0.001973,0.005661,0.001194
20140210,0.002674,0.001266,0.002887,0.001994,0.003332,0.003991,0.001310,0.004790,0.002135,0.002013,0.003769,0.003966,0.002175,0.006609,0.001144
